anchor_id,selected_k,split,branch,num_samples,median_response_cosine,q25_response_cosine,contact_mode_purity,matrix
611,4,hold_eps010,2,12,0.9997613309490293,0.9993262610944639,0.5833333333333334,"[[0.12282791059385814,-0.034668537571287246,-0.06758448972754139,0.02837688193061459,-0.016221800967740046,-0.005808375189496947],[0.14510010400165355,-0.04025829999207048,-0.08348581548362248,0.035640296788127766,-0.020648176140929033,-0.006100226690148366],[0.10926860937648956,-0.0311755293988456,-0.060922777318488094,0.026042565264639175,-0.01492481025036428,-0.004994046469528319]]"
611,4,hold_eps010,3,38,0.9991291411065507,0.9959885246287317,0.6578947368421053,"[[0.009427868442451292,-0.0015141793452850846,-0.01708011820751824,0.016415117260121587,-0.01673111775231009,0.004577882392530001],[0.014703359948259168,-0.0035844188647070024,-0.026336804712925713,0.023296324412646962,-0.022435434111100744,0.006154306799719386],[0.009169345070396958,-0.0018446247199763912,-0.01665722780749037,0.015348298923057042,-0.015230459912118077,0.004137726363666578]]"
844,6,train_eps003,0,35,0.997148786891045,0.9897936351699603,0.6,"[[0.00045649366767416507,0.00013058147670295462,-0.00017860209451243684,-0.00025694245670560787,0.0009573993160140445,0.0009727276723140715],[0.004960380568644009,0.0014081439103051866,-0.0005573975871826582,0.00046681649309384727,-0.0016152589875985835,-0.0014705781206226201],[0.00471264748438053,0.0013911766189347555,-0.00043646100589752343,0.0004237615240383629,-0.001031362804065678,-0.0009568073162974908]]"
844,6,train_eps003,1,62,0.9996325014435657,0.9983385628150896,0.5967741935483871,"[[0.01783799656190029,-0.013513438907967327,-0.04301436818288167,0.03704261520836271,0.0004156174097548186,0.03126337442615425],[0.011183089390431744,-0.002770051674514626,-0.013880838127821225,0.011781187502125479,-0.0025725102642086485,0.0055578326520023],[0.011359087408039082,-0.002937629688604444,-0.01417478025821408,0.01231881378178853,-0.002182694055115154,0.005681753011929576]]"
844,6,train_eps003,2,57,0.9980976143960185,0.9938054204828387,0.5614035087719298,"[[0.0009337023681145844,0.00025696511963713104,-0.0007239524837624399,8.330195729799769e-05,0.00010296728654991282,-0.0013915393801459106],[0.006981664862537292,0.002400565699469132,-0.002556994967566547,0.0009293844571038153,-0.002286849749052435,-0.005468982984945428],[0.006990847622461231,0.002448581309321534,-0.0027604981891532396,0.000941053090857678,-0.0019994824350184157,-0.005873306275538129]]"
844,6,train_eps003,3,67,0.9996742525723796,0.9989633595310371,0.582089552238806,"[[-0.003941801011116479,0.0084283986761706,0.023189671200497648,0.02891155605567253,0.006408868739902208,-0.05634273012916329],[0.00464658764709371,0.003831153195232254,0.005959516093958946,0.009243517700409152,-0.0011096974389075637,-0.018951243405472037],[0.004661287425771379,0.003998463843887227,0.006277110501216348,0.00958230149392609,-0.000950998975964488,-0.019163158532317717]]"
844,6,train_eps003,4,60,0.9992457217186466,0.9973618081710675,0.55,"[[-0.006650024119887044,0.0025301059438865366,0.008207401539349584,-0.05371779406658073,-0.012033346417111512,0.030385549186243806],[0.004872899286971118,0.0017167662971235404,0.00045915364152355337,-0.014721096799204,-0.007020653960547766,0.006003881365804953],[0.004580361149430911,0.0016224734869422725,0.0009801973895228351,-0.014898645653874713,-0.007595587484372242,0.0063065173546402575]]"
844,6,train_eps003,5,39,0.9976864199263258,0.9878143390271066,0.5384615384615384,"[[-0.0006613320817818923,-0.0009385287640297853,0.0008202392474146032,-0.00012043937187747085,-0.0009172572292196204,9.022929604742775e-05],[0.003936059469091915,3.483792900057201e-05,-0.0004831334081626931,-0.00023278044057999507,-0.004256234758187189,-0.0020840961516360263],[0.0033533406756587254,-0.00042800992600707536,-0.00010896718516961214,-0.00031204353286260427,-0.004338854188951192,-0.0018272334144312317]]"
844,6,hold_eps003,0,11,0.9922013258559548,0.9818635142805261,0.5454545454545454,"[[0.00045649366767416507,0.00013058147670295462,-0.00017860209451243684,-0.00025694245670560787,0.0009573993160140445,0.0009727276723140715],[0.004960380568644009,0.0014081439103051866,-0.0005573975871826582,0.00046681649309384727,-0.0016152589875985835,-0.0014705781206226201],[0.00471264748438053,0.0013911766189347555,-0.00043646100589752343,0.0004237615240383629,-0.001031362804065678,-0.0009568073162974908]]"
844,6,hold_eps003,1,16,0.999168094297215,0.9957209291786142,0.5625,"[[0.01783799656190029,-0.013513438907967327,-0.04301436818288167,0.03704261520836271,0.0004156174097548186,0.03126337442615425],[0.011183089390431744,-0.002770051674514626,-0.013880838127821225,0.011781187502125479,-0.0025725102642086485,0.0055578326520023],[0.011359087408039082,-0.002937629688604444,-0.01417478025821408,0.01231881378178853,-0.002182694055115154,0.005681753011929576]]"
844,6,hold_eps003,2,14,0.9951279497920422,0.9928543686827909,0.5,"[[0.0009337023681145844,0.00025696511963713104,-0.0007239524837624399,8.330195729799769e-05,0.00010296728654991282,-0.0013915393801459106],[0.006981664862537292,0.002400565699469132,-0.002556994967566547,0.0009293844571038153,-0.002286849749052435,-0.005468982984945428],[0.006990847622461231,0.002448581309321534,-0.0027604981891532396,0.000941053090857678,-0.0019994824350184157,-0.005873306275538129]]"
844,6,hold_eps003,3,19,0.9994691648934915,0.9880082968143614,0.6842105263157895,"[[-0.003941801011116479,0.0084283986761706,0.023189671200497648,0.02891155605567253,0.006408868739902208,-0.05634273012916329],[0.00464658764709371,0.003831153195232254,0.005959516093958946,0.009243517700409152,-0.0011096974389075637,-0.018951243405472037],[0.004661287425771379,0.003998463843887227,0.006277110501216348,0.00958230149392609,-0.000950998975964488,-0.019163158532317717]]"
