anchor_id,selected_k,variant,split,accuracy,balanced_accuracy,macro_f1,majority_accuracy,chance_balanced_accuracy,status
11603,6,direction_plus_post_contact_oracle,hold_eps010,0.2717391304347826,0.20428433001107418,0.2000967334269899,0.4673913043478261,0.16666666666666666,ok
11882,6,direction_deployable,hold_eps003,0.45652173913043476,0.15217391304347824,0.10526315789473684,0.5,0.16666666666666666,ok
11882,6,direction_deployable,hold_eps010,0.5434782608695652,0.15723270440251572,0.11904761904761905,0.5760869565217391,0.16666666666666666,ok
11882,6,post_contact_oracle,hold_eps003,0.5543478260869565,0.2708333333333333,0.18571782791966282,0.5,0.16666666666666666,ok
11882,6,post_contact_oracle,hold_eps010,0.5869565217391305,0.23113207547169812,0.18967893068761196,0.5760869565217391,0.16666666666666666,ok
11882,6,direction_plus_post_contact_oracle,hold_eps003,0.6739130434782609,0.44345238095238093,0.44254868475051956,0.5,0.16666666666666666,ok
11882,6,direction_plus_post_contact_oracle,hold_eps010,0.5543478260869565,0.1954177897574124,0.18832391713747645,0.5760869565217391,0.16666666666666666,ok
12358,6,direction_deployable,hold_eps003,0.4891304347826087,0.5424908424908425,0.5151745701410447,0.32608695652173914,0.16666666666666666,ok
12358,6,direction_deployable,hold_eps010,0.09782608695652174,0.031914893617021274,0.043478260869565216,0.5108695652173914,0.16666666666666666,ok
12358,6,post_contact_oracle,hold_eps003,0.4782608695652174,0.3333333333333333,0.22615664845173042,0.32608695652173914,0.16666666666666666,ok
12358,6,post_contact_oracle,hold_eps010,0.4782608695652174,0.29078014184397166,0.18671609514983012,0.5108695652173914,0.16666666666666666,ok
12358,6,direction_plus_post_contact_oracle,hold_eps003,0.9021739130434783,0.8743589743589744,0.8766879008250882,0.32608695652173914,0.16666666666666666,ok
12358,6,direction_plus_post_contact_oracle,hold_eps010,0.41304347826086957,0.17966903073286053,0.17759928603302097,0.5108695652173914,0.16666666666666666,ok
15071,6,direction_deployable,hold_eps003,0.17391304347826086,0.1649942406521354,0.15877750950342626,0.2608695652173913,0.16666666666666666,ok
15071,6,direction_deployable,hold_eps010,0.14130434782608695,0.186307519640853,0.13500376539169642,0.29347826086956524,0.16666666666666666,ok
15071,6,post_contact_oracle,hold_eps003,0.2608695652173913,0.25925925925925924,0.1259259259259259,0.2608695652173913,0.16666666666666666,ok
15071,6,post_contact_oracle,hold_eps010,0.29347826086956524,0.1764870931537598,0.12029569892473119,0.29347826086956524,0.16666666666666666,ok
15071,6,direction_plus_post_contact_oracle,hold_eps003,0.2391304347826087,0.22049441786283888,0.20591969356386072,0.2608695652173913,0.16666666666666666,ok
15071,6,direction_plus_post_contact_oracle,hold_eps010,0.20652173913043478,0.22334455667789,0.17064418819637037,0.29347826086956524,0.16666666666666666,ok
15332,6,direction_deployable,hold_eps003,0.20652173913043478,0.1967348927875244,0.17814531188819613,0.21739130434782608,0.16666666666666666,ok
15332,6,direction_deployable,hold_eps010,0.16304347826086957,0.13925518925518923,0.13600244328680514,0.2826086956521739,0.16666666666666666,ok
15332,6,post_contact_oracle,hold_eps003,0.2826086956521739,0.225,0.13055348721767188,0.21739130434782608,0.16666666666666666,ok
15332,6,post_contact_oracle,hold_eps010,0.25,0.193019943019943,0.10836385836385835,0.2826086956521739,0.16666666666666666,ok
15332,6,direction_plus_post_contact_oracle,hold_eps003,0.1956521739130435,0.1791423001949318,0.15261806476976755,0.21739130434782608,0.16666666666666666,ok
15332,6,direction_plus_post_contact_oracle,hold_eps010,0.13043478260869565,0.1253154253154253,0.13402777777777777,0.2826086956521739,0.16666666666666666,ok
18559,5,direction_deployable,hold_eps003,0.34782608695652173,0.32633766233766237,0.29969124036199407,0.2717391304347826,0.2,ok
18559,5,direction_deployable,hold_eps010,0.14130434782608695,0.21308317698561602,0.13141221569128544,0.44565217391304346,0.2,ok
18559,5,post_contact_oracle,hold_eps003,0.22826086956521738,0.22032085561497325,0.12843091334894613,0.2717391304347826,0.2,ok
18559,5,post_contact_oracle,hold_eps010,0.41304347826086957,0.2589118198874297,0.1858974358974359,0.44565217391304346,0.2,ok
18559,5,direction_plus_post_contact_oracle,hold_eps003,0.3804347826086957,0.3695940921823275,0.36901314371902605,0.2717391304347826,0.2,ok
18559,5,direction_plus_post_contact_oracle,hold_eps010,0.1956521739130435,0.20261413383364607,0.16603296592173122,0.44565217391304346,0.2,ok
18637,6,direction_deployable,hold_eps003,0.2717391304347826,0.23777056277056274,0.23925070028011206,0.32608695652173914,0.16666666666666666,ok
18637,6,direction_deployable,hold_eps010,0.14130434782608695,0.06578947368421052,0.07314814814814814,0.41304347826086957,0.16666666666666666,ok
18637,6,post_contact_oracle,hold_eps003,0.3804347826086957,0.25,0.15071183112420225,0.32608695652173914,0.16666666666666666,ok
18637,6,post_contact_oracle,hold_eps010,0.33695652173913043,0.18530701754385967,0.12527707712298403,0.41304347826086957,0.16666666666666666,ok
18637,6,direction_plus_post_contact_oracle,hold_eps003,0.40217391304347827,0.32236652236652236,0.3372645721793239,0.32608695652173914,0.16666666666666666,ok
18637,6,direction_plus_post_contact_oracle,hold_eps010,0.17391304347826086,0.08333333333333333,0.09791666666666667,0.41304347826086957,0.16666666666666666,ok
19119,6,direction_deployable,hold_eps003,0.33695652173913043,0.3794762742131163,0.31586482394700904,0.2717391304347826,0.16666666666666666,ok
19119,6,direction_deployable,hold_eps010,0.043478260869565216,0.030352303523035234,0.037037037037037035,0.44565217391304346,0.16666666666666666,ok
19119,6,post_contact_oracle,hold_eps003,0.29347826086956524,0.2224242424242424,0.12599597233166973,0.2717391304347826,0.16666666666666666,ok
